director,num_movies,avg_rating,total_votes,popularity_score
Raja Gosnell,8,2.6325000000000003,1411686,21.060000000000002
Rakesh Roshan,2,2.545,22835,5.09
Ralph Bakshi,7,3.307142857142857,95075,23.15
Ralph Brooke,1,2.46,1092,2.46
Ralph E. Portillo,1,1.98,1556,1.98
Ralph Fiennes,1,3.28,10246,3.28
Ralph Nelson,2,3.685,5857,7.37
Ralph Ziman,1,2.07,1996,2.07
"Ralph Zondag, Simon Wells",1,2.95,16738,2.95
Ramaa Mosley,1,3.07,5430,3.07
"Ramez Silyan, Sebastian Jones",1,3.77,16781,3.77
Ramin Bahrani,3,3.186666666666667,38830,9.56
"Ramsey Thomas, Alan Smithee",1,2.99,221,2.99
Randa Haines,1,2.95,2691,2.95
Randal Kleiser,3,3.1966666666666668,808989,9.59
Randall Hood,1,2.94,219,2.94
Randall Miller,2,2.79,10882,5.58
Randall Park,1,3.22,25257,3.22
Randall Wallace,2,3.245,120099,6.49
Randy Moore,1,2.32,14243,2.32
Raoul Walsh,5,3.742,46141,18.71
Raphael Nussbaum,1,3.12,1183,3.12
Rawson Marshall Thurber,3,3.0666666666666664,1058743,9.2
"Ray Ashley, Morris Engel",1,3.84,4457,3.84
Ray Dennis Steckler,3,2.9299999999999997,1633,8.79
Ray Kellogg,1,2.22,3124,2.22
"Ray Patterson, Don Lusk",1,3.02,234,3.02
Ray Ramayya,1,2.87,1087,2.87
Raymie Muzquiz,1,3.4,6239,3.4
Raymond De Felitta,1,3.44,5460,3.44
Raúl García,1,3.32,4662,3.32
Rebecca Miller,1,3.03,3381,3.03
Rebecca Thomas,1,3.52,13355,3.52
Rebecca Zlotowski,1,2.54,4652,2.54
Reed Morano,3,2.8333333333333335,31423,8.5
Reggie Rock Bythewood,1,2.5,3829,2.5
Reginald Hudlin,3,3.09,35305,9.27
Reginald Le Borg,1,2.93,1506,2.93
Reinaldo Marcus Green,1,3.7,287170,3.7
Reinhard Klooss,1,2.11,4443,2.11
Remi Weekes,1,3.44,144328,3.44
Rene Perez,1,2.55,302,2.55
Renny Harlin,17,2.732941176470588,616776,46.46
René Clair,1,3.55,15416,3.55
"René Clair, Frank Lloyd",1,3.37,200,3.37
René Clément,1,4.07,10952,4.07
René Eram,1,2.82,450,2.82
"René Goscinny, Albert Uderzo",1,3.88,31836,3.88
René Laloux,3,3.7566666666666664,219020,11.27
"Reuben Atlas, Jerry Rothwell",1,3.48,6651,3.48
Rex Ingram,1,3.45,1532,3.45
Rhiannon Bannenberg,1,2.05,5637,2.05
"Rhys Thomas, Bertie",1,3.33,289184,3.33
Rian Johnson,4,3.665,5513258,14.66
Ric Roman Waugh,3,3.203333333333333,96045,9.61
Ricardo Curtis,1,2.68,3493,2.68
Rich Moore,1,3.6,871867,3.6
Rich Newey,1,2.82,304,2.82
Richard Attenborough,4,3.58,80825,14.32
Richard Ayoade,2,3.715,330053,7.43
Richard Benjamin,2,2.925,7113,5.85
Richard Blackburn,1,3.32,3296,3.32
Richard Brooks,8,3.4925,93382,27.94
"Richard Burton, Nevill Coghill",1,2.92,688,2.92
Richard C. Sarafian,9,3.247777777777778,24641,29.23
"Richard C. Sarafian, Alan Smithee",1,2.8,425,2.8
Richard Compton,1,3.28,1836,3.28
Richard Curtis,2,3.755,1854190,7.51
Richard Donner,21,3.2523809523809524,1470209,68.3
Richard Eyre,2,3.42,63937,6.84
Richard Fleischer,8,3.465,122690,27.72
Richard Franklin,4,3.3225,74878,13.29
Richard Friedman,1,2.59,5613,2.59
"Richard Glatzer, Wash Westmoreland",1,3.72,133057,3.72
Richard Gray,1,2.56,1894,2.56
Richard Jefferies,1,2.57,1987,2.57
Richard Kelly,3,3.233333333333333,1639812,9.7
Richard LaGravenese,2,3.315,95702,6.63
Richard Lang,1,3.22,1095,3.22
Richard Lerner,1,2.9,593,2.9
Richard Lester,10,3.246,236365,32.46
Richard Linklater,16,3.704375,4362561,59.27
Richard Loncraine,5,3.2299999999999995,60889,16.15
Richard Moore,1,2.97,1156,2.97
"Richard Park Wu-sang, Y.K. Kim",1,3.22,18691,3.22
Richard Pearce,1,2.78,2875,2.78
Richard Pepin,1,2.98,439,2.98
Richard Quine,13,3.3515384615384614,49039,43.57
Richard Rich,2,2.855,41139,5.71
"Richard Rich, Terry L. Noss",1,2.89,1109,2.89
Richard Rush,4,3.1825,7396,12.73
Richard Shepard,1,2.88,120103,2.88
Richard Stanley,2,3.215,146367,6.43
Richard Starzak,1,3.55,1392,3.55
Richard T. Heffron,1,3.2,1127,3.2
Richard Tanne,1,2.53,43339,2.53
Richard Thorpe,3,3.1999999999999997,5336,9.6
Richard Whorf,1,3.29,505,3.29
Richard Williams,2,3.7750000000000004,18594,7.550000000000001
Richard Wong,1,3.1,14802,3.1
Richie Keen,1,2.44,42445,2.44
Rick Famuyiwa,1,3.51,118852,3.51
Rick Jacobson,1,2.29,2954,2.29
Rick Morales,1,3.26,10117,3.26
Rick Rowley,1,3.55,374,3.55
Rick Sloane,1,1.89,6392,1.89
Ricky Gervais,1,2.55,12211,2.55
Ridley Scott,25,3.3688,8157010,84.22
Ringo Lam Ling-Tung,3,3.7433333333333336,18326,11.23
Rintaro,1,3.75,3446,3.75
Roar Uthaug,1,2.74,183702,2.74
Rob Bowman,1,1.63,64740,1.63
Rob Burnett,1,3.49,134191,3.49
Rob Cohen,6,2.5100000000000002,266367,15.060000000000002
"Rob Epstein, Jeffrey Friedman",1,3.32,2412,3.32
Rob Garver,1,3.33,2995,3.33
Rob Hedden,1,2.1,78527,2.1
"Rob LaDuca, Robert C. Ramirez",1,3.07,25140,3.07
Rob Letterman,2,2.4699999999999998,232924,4.9399999999999995
"Rob Letterman, Conrad Vernon",1,2.85,268918,2.85
Rob Lieberman,1,3.21,27127,3.21
Rob Marshall,2,3.41,798282,6.82
Rob McKittrick,1,2.78,64013,2.78
Rob Meyer,1,3.19,996,3.19
Rob Minkoff,1,3.23,141260,3.23
Rob Reiner,11,3.65,3367847,40.15
Rob Savage,1,3.2,164554,3.2
Rob Sitch,1,3.86,16997,3.86
Rob Thomas,1,3.33,21685,3.33
Rob Zombie,5,2.854,400654,14.27
Robbie Pickering,1,2.88,9245,2.88
Robert A. Ferretti,1,3.63,446,3.63
Robert Aldrich,7,3.7114285714285713,189677,25.98
Robert Altman,14,3.7271428571428573,572218,52.18
Robert B. Weide,1,4.23,16138,4.23
Robert Ben Garant,1,2.43,26932,2.43
"Robert Ben Garant, Thomas Lennon",1,2.64,4536,2.64
Robert Benton,1,4.06,143702,4.06
Robert Bierman,1,3.42,59685,3.42
Robert Boris,1,3.04,787,3.04
Robert Bresson,4,4.095,207724,16.38
Robert Butler,1,2.63,1978,2.63
Robert C. Dertano,1,2.36,530,2.36
Robert C. Ramirez,1,2.89,1716,2.89
Robert Clouse,4,3.285,112555,13.14
"Robert Clouse, Bruce Lee",1,2.95,20609,2.95
Robert Cohen,1,3.14,658,3.14
Robert Connolly,1,2.75,4967,2.75
Robert Cuffley,1,3.04,304,3.04
Robert Day,1,2.83,1683,2.83
Robert De Niro,1,4.05,165737,4.05
Robert Dornhelm,1,3.08,245,3.08
"Robert Dornhelm, Simon Wincer",1,3.58,611,3.58
Robert Downey Sr.,1,3.68,12899,3.68
Robert Dyke,1,2.45,2037,2.45
Robert Eggers,3,3.8766666666666665,3112223,11.629999999999999
Robert Ellis Miller,1,3.34,290,3.34
Robert F. Slatzer,1,2.61,422,2.61
Robert Florey,1,3.27,2109,3.27
Robert Fuest,4,3.2775,38294,13.11
Robert Gaffney,1,2.62,1161,2.62
Robert Gordon,1,2.84,4962,2.84
Robert Greenwald,9,3.155555555555556,26113,28.400000000000002
Robert Harling,1,2.81,1442,2.81
Robert Harmon,1,3.63,55404,3.63
Robert Hartford-Davis,1,3.1,689,3.1
"Robert Hartford-Davis, Julian More",1,2.77,563,2.77
Robert Hiltzik,1,3.21,124837,3.21
"Robert Houston, Kenji Misumi",1,3.73,12514,3.73
Robert Iscove,2,2.79,230747,5.58
Robert J. Rosenthal,1,2.39,3923,2.39
Robert Kaylor,1,3.2,1576,3.2
Robert Kirk,1,2.53,1564,2.53
Robert Lee King,1,3.28,6243,3.28
Robert Longo,1,2.83,49521,2.83
Robert Luketic,3,2.89,1155664,8.67
Robert M. Young,1,3.69,2076,3.69
Robert McCallum,1,2.67,1455,2.67
"Robert McCallum, Randall Lobb",1,3.33,2746,3.33
Robert Moore,1,3.32,27551,3.32
Robert Mulligan,3,3.7066666666666666,209421,11.12
Robert Parrish,2,3.2800000000000002,1076,6.5600000000000005
Robert Redford,1,4.01,49528,4.01
Robert Resnikoff,1,2.74,3909,2.74
Robert Rodriguez,8,3.02125,1083598,24.17
"Robert Rodriguez, Ethan Maniquis",1,3.07,80741,3.07
"Robert Rodriguez, Frank Miller",1,3.69,298187,3.69
Robert Rossen,6,3.533333333333333,71362,21.2
Robert Schwentke,6,2.665,858248,15.99
Robert Scott,1,2.64,7437,2.64
Robert Siodmak,3,3.513333333333333,29501,10.54
"Robert Siodmak, Edgar G. Ulmer",1,3.63,5037,3.63
Robert Stevenson,26,3.1950000000000003,407050,83.07000000000001
Robert Stromberg,1,3.26,571995,3.26
Robert Thom,1,3.0,404,3.0
Robert Townsend,1,3.63,10499,3.63
Robert Veze,1,2.87,206,2.87
Robert Vincent O'Neil,2,2.64,3578,5.28
Robert Wiene,1,4.07,179506,4.07
Robert Wise,12,3.581666666666667,615136,42.980000000000004
"Robert Wise, Jerome Robbins",1,3.84,208639,3.84
Robert Z. Leonard,1,3.23,220,3.23
Robert Zemeckis,15,3.4253333333333336,5877203,51.38
Roberta Findlay,3,2.6933333333333334,4072,8.08
Roberto Benigni,1,3.46,4209,3.46
Roberto Rossellini,9,3.8866666666666663,165146,34.98
Robin Budd,1,2.92,48344,2.92
Robin Campillo,3,3.5066666666666664,54178,10.52
Robin Hardy,1,3.97,230997,3.97
Rod Blackhurst,1,2.81,2847,2.81
"Rod Blackhurst, Brian McGinn",1,3.34,33737,3.34
Rod Daniel,3,2.6733333333333333,85348,8.02
Rod Hardy,1,2.01,2313,2.01
Rod Lurie,6,3.2900000000000005,64207,19.740000000000002
Rodger Grossman,1,2.89,1283,2.89
Rodman Flender,1,3.2,42621,3.2
Rodney Ascher,1,3.06,40754,3.06
Rodo Sayagues,1,2.41,103110,2.41
Rodrigo García,1,3.15,1937,3.15
Roel Reiné,4,2.2325,22381,8.93
Roger Allers,1,3.52,3247,3.52
"Roger Allers, Rob Minkoff",1,4.22,1478357,4.22
Roger Avary,2,3.26,40810,6.52
Roger Christian,2,2.195,29217,4.39
Roger Corman,26,3.132307692307692,204548,81.44
Roger Donaldson,6,3.0516666666666663,159477,18.31
Roger Kumble,3,2.7699999999999996,345198,8.309999999999999
Roger Michell,3,3.2300000000000004,941514,9.690000000000001
Roger Spottiswoode,4,2.7425,206218,10.97
Roger Vadim,5,3.198,65012,15.99
Roger Young,1,2.98,847,2.98
Roland Emmerich,11,2.674545454545455,1653034,29.42
Roland Joffé,3,2.5766666666666667,7867,7.73
Roland Suso Richter,1,2.87,2093,2.87
Roland West,1,3.25,1033,3.25
Rolfe Kanefsky,1,2.95,7624,2.95
Roman Coppola,2,2.705,8270,5.41
Roman Polanski,12,3.7133333333333334,1322180,44.56
Romano Scavolini,1,3.06,6108,3.06
Romola Garai,1,2.78,7028,2.78
Romolo Guerrieri,1,3.27,320,3.27
Romuald Karmakar,1,3.66,961,3.66
"Ron Clements, John Musker",5,3.748,3151595,18.740000000000002
Ron Fricke,1,4.32,33390,4.32
Ron Howard,18,3.302777777777778,3231130,59.45
Ron Mann,1,3.47,304,3.47
"Ron Ormond, Herbert Tevos",1,2.1,1189,2.1
Ron Scalpello,1,2.95,589,2.95
Ron Shelton,5,3.344,166250,16.72
Ron Underwood,3,3.25,204057,9.75
Ronald F. Maxwell,5,3.144,23585,15.72
Ronald Neame,5,3.286,41878,16.43
Ronald V. Ashcroft,1,2.64,631,2.64
Roni Ezra,1,3.38,2283,3.38
"Ronna Gradus, Jill Bauer",1,2.98,20086,2.98
Ronny Yu,4,2.835,307314,11.34
Rosanna Arquette,1,3.44,580,3.44
Roscoe 'Fatty' Arbuckle,1,3.46,347,3.46
Rose Glass,1,3.49,198782,3.49
Roseanne Liang,1,2.54,29368,2.54
Rospo Pallenberg,1,2.54,7735,2.54
"Ross Duffer, Matt Duffer",1,3.09,12645,3.09
Ross Katz,1,3.4,3530,3.4
Ross McElwee,1,3.9,4503,3.9
Rouben Mamoulian,3,3.61,30678,10.83
Rowan Woods,1,2.84,1051,2.84
Rowdy Herrington,1,3.42,109873,3.42
Roy Allen Smith,1,3.12,14953,3.12
Roy Del Ruth,1,2.84,2586,2.84
Roy Frumkes,1,3.5,1192,3.5
Roy Rowland,14,3.2964285714285713,12030,46.15
Roy Ward Baker,8,3.3762499999999998,66796,27.009999999999998
Roy William Neill,4,3.345,18038,13.38
Ruben Fleischer,5,2.896,2627084,14.48
Ruben Östlund,3,3.73,979775,11.19
Rubén Galindo Jr.,1,2.7,5859,2.7
Ruchi Narain,1,2.77,1819,2.77
Rudolph Maté,1,3.08,1701,3.08
Rudy Durand,1,3.12,223,3.12
"Rudy Wurlitzer, Robert Frank",1,3.47,857,3.47
Rufus Norris,1,3.57,9544,3.57
Ruggero Deodato,4,2.745,99273,10.98
Rupert Goold,1,3.88,3177,3.88
Rupert Harvey,1,2.09,7370,2.09
Rupert Julian,1,3.73,31470,3.73
Rupert Sanders,2,2.58,352426,5.16
Rupert Wyatt,2,3.235,763287,6.47
Russ Meyer,3,3.5066666666666664,46156,10.52
Russell Mulcahy,6,2.9766666666666666,138117,17.86
Rusty Cundieff,1,3.66,23079,3.66
Ry Russo-Young,2,2.935,2423,5.87
