director,num_movies,avg_rating,total_votes,popularity_score
Vishal Bhardwaj,1,3.19,3636,3.19
Vittorio Cottafavi,1,3.16,543,3.16
Vittorio De Sica,7,3.7800000000000002,294563,26.46
"Vittorio De Sica, Federico Fellini",1,3.63,4871,3.63
Vittorio Salerno,1,3.37,1060,3.37
Vivian Kubrick,1,3.94,12539,3.94
Vlad Yudin,1,3.3,2127,3.3
Volker Schlöndorff,2,3.625,27114,7.25
"Volker Schlöndorff, Margarethe von Trotta",1,3.68,4893,3.68
Víctor Erice,1,4.17,44331,4.17
Věra Chytilová,2,3.8,117212,7.6
W.D. Richter,1,3.19,27822,3.19
W.S. Van Dyke,1,3.96,32428,3.96
Walbercy Ribas,1,3.33,389,3.33
Walerian Borowczyk,1,3.07,7556,3.07
Wallace Worsley,1,3.62,2062,3.62
Wally Koz,1,2.8,785,2.8
Wally Pfister,1,2.42,71162,2.42
Walt Becker,1,2.74,36717,2.74
Walt Dohrn,1,2.78,90618,2.78
Walter Grauman,1,3.39,3980,3.39
Walter Hill,14,3.2471428571428573,400756,45.46
Walter Hugo Khouri,1,3.65,964,3.65
Walter Murch,1,3.41,45248,3.41
Walter Salles,1,2.87,25998,2.87
Wang Bing,1,4.38,3538,4.38
Ward Serrill,1,3.54,217,3.54
Warren Beatty,4,3.2975000000000003,90160,13.190000000000001
"Warwick Ross, David Roach",1,3.29,450,3.29
Wash Westmoreland,1,3.43,44211,3.43
Wayne Berwick,1,2.23,8491,2.23
Wayne Kramer,1,2.87,3221,2.87
Wayne Thornley,1,2.51,2780,2.51
Wayne Wang,3,3.1833333333333336,154917,9.55
Wei Shujun,1,3.45,964,3.45
Werner Herzog,10,3.768,522264,37.68
"Werner Herzog, Clive Oppenheimer",1,3.59,6908,3.59
Wes Anderson,11,3.9009090909090913,9544643,42.910000000000004
Wes Ball,1,3.02,410251,3.02
Wes Craven,21,2.977142857142857,4110313,62.519999999999996
Whit Stillman,2,3.8,64001,7.6
Whitney Cummings,1,2.63,2074,2.63
"Wilfred Jackson, Bill Roberts",1,2.72,21896,2.72
"Will Becher, Richard Phelan",1,3.35,30645,3.35
"Will Finn, John Sanford",1,2.7,83019,2.7
Will Forbes,1,1.85,1694,1.85
Will Gluck,5,2.976,1480190,14.879999999999999
Will Meugniot,1,2.72,646,2.72
"Will Speck, Josh Gordon",2,2.815,220306,5.63
Will Wernick,1,1.59,3750,1.59
Willard Carroll,1,3.2,4838,3.2
Willard Huyck,1,2.21,44367,2.21
"Willard Huyck, Gloria Katz",1,3.54,26416,3.54
William A. Graham,1,3.28,379,3.28
William A. Levey,1,2.13,2620,2.13
William A. Wellman,4,3.67,62212,14.68
William Asher,3,3.0666666666666664,20541,9.2
William Beaudine,3,2.2566666666666664,4255,6.77
William Brent Bell,3,2.2666666666666666,265217,6.8
William Castle,1,3.25,526,3.25
William Cheung Kei,1,3.09,746,3.09
William Conlin,1,3.48,511,3.48
William Conrad,1,3.11,817,3.11
William Crain,1,3.08,15958,3.08
William Dear,1,3.01,4432,3.01
William Dieterle,3,3.3833333333333333,13079,10.15
William Eubank,1,2.8,160142,2.8
William F. Claxton,1,2.45,5348,2.45
William Friedkin,10,3.6130000000000004,1259867,36.13
William Girdler,8,2.9050000000000002,22192,23.240000000000002
William H. Macy,1,1.89,12264,1.89
William Hale,1,3.04,206,3.04
William Hanna,1,3.2,516,3.2
"William Hanna, Joseph Barbera",1,3.17,983,3.17
William Heins,1,1.58,1614,1.58
William K. Howard,1,3.34,449,3.34
William Lustig,5,3.1060000000000003,102145,15.530000000000001
William Malone,1,2.5,4563,2.5
William Martin,1,3.38,236,3.38
William Nigh,3,2.62,2912,7.86
William Oldroyd,1,3.45,61733,3.45
William Peter Blatty,1,3.56,76809,3.56
William Richert,1,3.31,5971,3.31
William Sachs,1,2.88,238,2.88
William Shatner,1,3.09,1886,3.09
William Tannen,1,3.15,2047,3.15
William Wesley,1,2.72,5413,2.72
William Witney,11,3.2263636363636365,5215,35.49
William Wyler,11,3.9063636363636363,515784,42.97
Wilson Yip,3,3.3466666666666662,52672,10.04
Wim Wenders,8,3.9475,1236214,31.58
Wojciech Jerzy Has,1,3.99,16073,3.99
Wolf Gremm,1,3.46,2052,3.46
Wolfgang Fischer,1,3.5,2856,3.5
Wolfgang Petersen,7,3.3414285714285716,809745,23.39
Wolfgang Reitherman,2,3.705,449426,7.41
Won Shin-yeon,1,3.17,2983,3.17
Wong Jing,1,3.1,9342,3.1
Wong Kar-wai,6,3.955,1866368,23.73
Woo Min-ho,3,3.3833333333333333,16721,10.15
Woody Allen,23,3.505652173913043,1880177,80.63
"Woody Allen, Senkichi Taniguchi",1,2.78,6327,2.78
Xavier Dolan,7,3.7114285714285713,507536,25.98
Xavier Gens,1,3.08,18643,3.08
Yance Ford,1,3.47,5633,3.47
Yang Woo-seok,3,3.3666666666666667,11749,10.1
Yann Samuell,1,3.53,34471,3.53
"Yasuhiro Geshi, Fuminori Kizaki",1,3.77,14920,3.77
Yasuhiro Yoshiura,1,3.43,1239,3.43
Yasujirō Ozu,2,4.32,167077,8.64
Yasuzō Masumura,1,3.7,7748,3.7
Yeon Sang-ho,8,3.2725,920051,26.18
"Yim Pil-sung, Kim Jee-woon",1,3.04,1781,3.04
Yim Soon-rye,1,3.34,705,3.34
"Yoann-Karl Whissell, François Simard",1,3.2,74637,3.2
"Yoav Paz, Doron Paz",1,2.27,9861,2.27
Yoh Yoshinari,1,3.76,8288,3.76
Yojiro Takita,1,4.05,26849,4.05
"Yolanda Ramke, Ben Howling",1,3.11,55365,3.11
Yoo Ha,1,2.89,1221,2.89
Yoon Jong-bin,3,3.5533333333333332,16492,10.66
Yoram Gross,1,3.33,316,3.33
Yorgos Lanthimos,6,3.4916666666666667,2703330,20.95
Yoshiaki Kawajiri,2,3.145,30051,6.29
"Yoshiaki Kawajiri, Katsuhiro Otomo",1,3.72,8973,3.72
"Yoshiaki Kawajiri, Kazuyuki Hirokawa",1,3.23,513,3.23
Yoshifumi Kondo,1,4.17,315463,4.17
Yoshihiro Nishimura,1,3.35,20002,3.35
"Yoshihiro Nishimura, Naoyuki Tomomatsu",1,2.92,2626,2.92
"Yoshihiro Nishimura, Noboru Iguchi",1,3.15,2019,3.15
Yoshihiro Ueda,1,2.07,14250,2.07
Yoshikazu Miyao,1,3.46,2236,3.46
Yoshimitsu Banno,1,3.47,21412,3.47
Yoshimitsu Morita,1,3.39,566,3.39
Yoshiyuki Momose,1,2.8,10248,2.8
"Yoshiyuki Momose, Akihiko Yamashita",1,3.38,10834,3.38
"Yoshiyuki Okada, Takeru Nakajima",1,3.1,6346,3.1
Yoshiyuki Tomino,1,3.83,6370,3.83
"Yoshiyuki Tomino, Toshifumi Takizawa",1,3.26,417,3.26
"Yoshiyuki Tomino, Yoshikazu Yasuhiko",1,3.57,6500,3.57
Yuen Woo-Ping,2,3.275,55134,6.55
Yugo Serikawa,1,3.63,1000,3.63
Yuichi Satoh,1,3.08,235,3.08
Yun Jun-hyung,1,3.1,311,3.1
Yusry Abdul Halim,1,2.45,599,2.45
Yuval Adler,1,2.74,20679,2.74
Yuzo Sato,1,3.45,15583,3.45
Yılmaz Erdoğan,1,3.34,6561,3.34
Zach Braff,1,3.44,135214,3.44
Zach Cregger,1,3.46,1073264,3.46
Zach Helm,1,3.1,42665,3.1
Zack Parker,1,3.0,3544,3.0
Zack Snyder,9,2.9188888888888886,3904747,26.269999999999996
Zak Hilditch,2,3.0999999999999996,128335,6.199999999999999
Zak Knutson,1,2.74,314,2.74
Zale Dalen,2,3.1550000000000002,1535,6.3100000000000005
Zane Buzby,1,2.59,713,2.59
Zatella Beatty,1,3.46,2761,3.46
Zaza Urushadze,1,4.07,22193,4.07
"Zeb Wells, Seth Green",1,3.49,1059,3.49
"Zeek Earl, Christopher Caldwell",1,3.29,43614,3.29
Zelda Barron,1,3.23,1969,3.23
"Zhang Li, Jackie Chan",1,2.69,1618,2.69
Zhang Yimou,12,3.6391666666666667,364566,43.67
Zhao Ji,1,3.28,4775,3.28
Ziad Doueiri,1,3.74,12080,3.74
Zoe Clarke-Williams,1,2.9,831,2.9
Zoe Lister-Jones,1,3.42,7058,3.42
"Zoe Lister-Jones, Daryl Wein",1,2.85,10738,2.85
Zu Quirke,1,2.78,50265,2.78
Éric Rohmer,4,3.8175,120441,15.27
"Éric Toledano, Olivier Nakache",1,3.81,20392,3.81
Étienne Périer,1,3.1,1072,3.1
Łukasz Kośmicki,1,2.74,5726,2.74
